consumer_discretionary_avg,consumer_staples_avg,energy_avg,financials_avg,health_care_avg,industrials_avg,information_technology_avg,materials_avg,real_estate_avg,telecommunication_services_avg,utilities_avg
116.42392,85.18522,62.36256,74.71776,124.8353,90.83515,94.46954,91.83058,98.43122,47.15869,58.452473
116.12249,85.046715,62.25715,74.81074,124.61621,90.4225,94.394714,91.564514,98.15399,47.026703,58.0874
115.73359,84.944695,61.875546,74.69498,124.0678,90.21469,94.25921,90.84329,97.74196,46.780235,57.83748
115.67874,84.67545,61.407917,74.210625,123.56877,89.930176,93.58801,90.22557,96.91923,46.727642,57.84407
115.512314,85.20141,61.034576,73.96039,123.26505,89.77596,93.596756,89.45607,96.18952,46.84616,57.748463
114.77012,84.98752,60.559658,73.91939,122.55386,89.49263,93.6733,89.5536,96.32955,46.865173,57.54897
114.30476,84.206245,60.34056,73.99073,122.10368,89.11395,93.35722,88.87875,96.104385,46.54419,57.407097
113.86852,83.86855,59.786728,73.570175,121.52205,88.63002,92.67127,88.194305,95.05452,46.38746,56.984303
113.32782,83.752975,59.58977,72.5987,120.81099,88.26753,92.26706,88.09602,94.47228,46.61385,56.91483
112.60232,83.381096,59.518936,72.24503,119.854774,87.36763,91.864204,88.37201,94.3197,46.5103,56.61133
112.748695,83.52068,60.369522,72.89854,120.42319,87.6472,91.356,88.56051,94.48094,45.33205,56.314552
114.06505,83.87861,61.282276,73.63645,122.48381,89.168625,92.00817,89.78206,96.44144,45.902355,57.921955
113.87325,83.70356,61.453613,74.26761,123.544685,89.57341,91.87909,90.23383,97.42284,45.926155,58.479862
113.86874,83.28216,62.19045,73.85939,123.56296,90.03424,91.91499,91.56855,98.75999,46.58752,58.746536
114.55776,83.42543,62.365505,74.090904,124.15667,89.94593,92.32233,91.8426,98.52684,46.586605,58.407375
114.11297,82.98256,63.05058,74.39706,122.508316,89.49634,93.385925,92.08332,99.0494,46.10878,56.905926
114.98817,81.99016,65.276596,75.911224,122.0266,88.86484,93.912674,92.07793,99.16065,43.97458,55.16844
117.500534,84.36966,64.67755,76.12004,125.28427,91.5467,93.59343,91.76226,98.31531,45.108547,57.16434
117.66949,84.19022,64.63478,76.19872,124.708305,90.90468,94.24743,91.91337,98.919174,44.883293,56.669373
117.64558,83.53962,65.24139,76.43242,124.23956,90.51115,94.72342,91.96839,99.305374,44.388145,55.79954
116.96998,83.16686,66.04551,76.69937,123.863174,89.844574,94.83796,92.268036,99.1334,44.338257,55.533314
117.76262,84.381294,65.27401,76.80734,124.94455,91.13234,95.277245,92.40202,99.408554,45.19439,56.543648
117.76856,84.56727,65.23862,77.422295,125.112335,91.24162,96.04738,92.32008,99.974434,45.619995,56.961082
117.31533,83.69402,65.89224,77.824165,124.304474,90.446335,96.39026,93.34214,100.6278,45.03871,56.091087
118.051796,84.61974,65.827156,77.9173,125.04649,91.018524,96.56637,93.5151,100.140854,45.744926,56.62052
117.2648,83.23801,66.706505,77.86685,124.309586,90.0153,96.47584,94.92545,100.50511,44.57802,55.405396
117.005356,83.258446,66.84311,77.96482,123.81193,90.31383,97.09818,93.23502,100.813896,45.22267,55.73025
117.52511,84.49739,65.20853,77.37887,124.78573,91.543304,96.36453,92.29131,99.693695,46.542824,57.473858
117.594185,85.46119,64.76967,76.94717,124.65651,92.01944,96.09396,92.08394,99.40239,46.939037,58.145992
116.26789,82.724236,66.79955,76.78881,124.10635,90.81746,95.80121,94.963745,100.308174,45.47358,56.95722
115.3112,80.97086,67.78376,76.55875,125.315544,90.90692,94.69971,97.79338,99.603065,45.3068,56.86712
115.846115,81.59626,68.15557,77.62044,126.0891,91.50597,95.46733,97.698845,100.580215,44.921722,56.86059
115.86181,80.712715,68.6427,77.219055,127.24399,92.31439,95.41613,100.72049,100.8156,45.498505,57.54681
