MO,ADM,BFB,CPB,CHD,KO,CL,CAG,STZ,COST,COTY,CVS,DPS,EL,GIS,HRL,SJM,K,KMB,KHC,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WMT,WBA,ALGN,DVA,EW,EVHC,HUM,IDXX,ILMN,ISRG,LH,MTD,REGN,COO,ZTS,AMT,CCI,DLR,EQIX,EXR,GGP,SBAC,VTR,AWK,DUK,NEE,SRE
56.44216,38.384052,-3.7860453,55.790295,81.68156,41.711025,72.851654,36.11105,126.12989,150.21245,27.367508,90.92789,84.32617,86.54746,47.87212,65.70898,125.88117,69.29837,127.00608,20.697254,62.94346,86.439644,84.2283,41.834297,117.31793,105.98549,98.76041,93.29458,40.408634,117.4426,97.79386,45.079845,80.65908,77.82045,63.667034,80.274895,67.60503,33.152172,163.20906,109.26284,174.69292,585.6272,114.13926,313.991,398.24182,149.7947,49.231316,91.688095,91.52195,76.83715,286.25266,73.332985,32.602707,103.37553,73.36462,59.779106,91.30963,114.50452,103.005775
56.31166,38.33279,-3.7945302,55.85083,81.34994,42.338818,73.7711,35.370483,124.354454,149.56248,27.135002,90.6494,83.67682,86.670525,46.783543,64.59286,125.592094,68.87219,126.22008,18.886772,63.903656,86.49264,84.2347,41.792103,115.84769,105.22718,98.31778,93.38082,39.97825,116.5728,97.82946,44.98666,81.23752,77.54978,63.385662,80.6209,66.85996,32.407658,161.25414,109.93975,172.7479,582.4302,113.6052,312.60587,391.28833,149.48508,49.09592,91.3432,91.25297,77.15126,283.55765,72.17728,32.545753,102.47021,74.02552,59.19319,90.892166,114.78223,102.11018
55.961075,38.95943,-3.9954665,55.174843,81.89937,42.107845,73.068436,35.184696,123.00471,148.92317,27.546936,91.31363,82.20106,87.4118,46.71284,63.303078,124.901276,68.22438,125.621346,16.76864,65.005005,85.983986,82.598366,41.33024,115.226875,105.5615,99.18068,93.86081,39.652626,114.41535,97.632256,44.299335,82.38831,79.41135,63.594093,81.72045,67.04179,33.986843,162.94373,110.61772,179.5055,582.1089,114.58175,313.83533,392.01068,152.6664,48.914833,90.51486,91.65866,75.55137,282.87387,71.7287,32.245174,104.08881,74.40659,58.723083,91.70004,115.72861,102.2743
56.943695,39.19769,-3.933592,55.301476,82.517494,42.457962,74.46926,34.971806,123.813354,149.08577,27.133453,92.06164,82.65556,87.87686,46.4075,63.14081,124.94932,68.263794,125.260345,18.391626,64.8427,86.46821,82.94051,41.094143,115.78193,105.61883,99.055595,93.34012,39.70569,114.6718,97.77745,44.629734,82.79497,79.85533,63.52377,82.033646,67.75935,33.90393,162.6074,109.50475,179.1635,583.0033,114.72547,314.0565,390.391,152.86818,48.944263,90.88471,91.612,76.03238,283.77655,71.992775,32.44009,104.25709,74.94261,58.69967,91.85202,116.46127,101.90363
58.60285,39.25417,-3.7923205,56.078594,84.40722,42.408882,74.97773,36.064137,129.11224,152.69164,26.938301,93.254456,85.513954,88.580864,47.93408,65.46058,126.41188,69.85117,127.26913,23.793222,63.449417,88.06065,84.42156,41.04456,119.39375,108.23716,101.21242,94.08946,41.207954,118.197495,98.60961,45.667,83.36709,81.37055,64.36815,83.14741,69.81284,34.86973,166.455,108.11491,181.56519,598.76807,116.99973,318.15714,398.72528,154.5668,48.896854,92.52203,92.32455,76.35428,290.9518,74.21222,33.26571,106.25054,74.33363,60.938145,92.64011,117.98363,104.62008
58.07444,38.800526,-3.9858248,56.79599,83.368645,43.196045,76.1771,35.343273,126.071075,152.21394,27.229645,92.86245,84.97592,88.71195,46.55317,64.62436,126.816795,69.18445,127.453766,19.289478,65.094505,88.375824,84.98567,42.23015,117.51437,107.29386,100.22585,94.7488,40.786846,117.79526,99.12781,45.534554,83.781654,80.214874,64.38159,83.09725,68.63453,32.869354,164.11292,111.73927,177.59833,594.8115,115.55015,317.8128,392.61163,154.29022,49.425014,92.89179,92.57673,77.80296,288.28543,73.02203,33.453575,105.01127,75.77728,60.148964,92.60495,117.58215,103.84967
58.155975,38.8926,-3.925773,56.080757,84.090385,42.9742,76.07571,35.354954,126.89338,151.8483,27.141144,92.72436,84.8917,88.27418,46.722576,64.401634,126.01477,68.88222,127.65073,20.108822,64.776215,88.01847,84.54404,41.50436,117.98244,107.7981,100.8999,94.69194,40.96219,117.37986,98.980125,45.558247,84.128716,80.9345,64.507866,83.09493,68.619675,33.773888,165.30826,110.83875,181.3272,597.56934,115.996994,317.88644,393.1762,155.03377,48.95401,92.63197,92.15052,76.84496,288.84973,72.94788,33.57585,105.82481,75.25729,60.483707,92.72118,118.04428,104.55627
57.176727,40.562477,-3.9412177,57.092056,83.849396,43.279232,75.23611,37.040462,128.19041,155.19768,28.445152,93.996925,86.48096,90.35505,49.636505,66.88518,130.10515,71.72409,131.04619,17.198236,66.4736,88.19749,86.68775,43.111614,120.775246,109.72655,103.00394,96.38595,40.910347,118.01297,100.140305,46.332577,84.171776,80.94568,65.991585,83.279625,70.457085,35.534515,170.2293,114.60688,184.79839,605.22034,118.57317,324.95706,414.56158,155.87856,50.363895,93.71121,95.56391,78.65754,294.09207,75.44931,33.56774,107.00211,76.22375,61.23942,95.16551,117.99875,106.4089
58.071747,40.407375,-3.98644,57.431515,85.09223,43.594566,76.55786,37.64704,127.59844,154.98692,28.755577,95.29649,85.97069,91.02053,49.234936,65.683655,129.00475,71.67146,130.39479,18.752636,66.645226,88.672775,85.77961,43.79988,121.19945,110.450005,102.97897,96.75276,41.882904,118.22144,100.67099,45.54167,84.97421,81.681725,66.70999,85.84663,73.50604,35.97847,171.016,113.62322,185.81438,607.76917,118.43056,327.52246,416.80658,159.95381,50.962585,96.04321,96.28609,78.97643,297.07712,75.46593,34.05633,109.23725,77.15041,60.60392,96.149124,119.16112,106.919235
56.756416,40.382744,-3.9226706,56.790337,84.20895,43.307453,76.14656,37.192127,124.61145,152.69969,28.52456,94.44449,84.01245,91.10499,48.88133,63.85839,127.90895,71.282166,128.69397,17.824045,66.27846,87.36049,83.98936,43.54051,119.32554,109.020905,102.22894,96.484436,41.76779,115.98938,100.12904,44.619392,84.41,81.606895,66.363045,86.2535,74.022446,36.168358,169.26308,113.0235,184.37984,598.8468,117.29682,324.0857,412.9259,159.22296,50.289814,95.05101,96.07787,77.65395,292.984,74.029976,33.242313,108.68151,76.96972,59.28916,95.50906,118.00997,105.382965
